# 52 TUs analysed, manual overrides: /home/aren/Nextcloud/Clients/Internal/CCR_Electronics/DiveCANHeadRev2/Firmware/scripts/wcs_manual.msu
Translation Unit                                                        Function Name                                     Stack  Unresolved Dependencies
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     writeSetpointDID                          unbounded:200  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/error_histogram.c                     error_histogram_clear                     unbounded:192  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/divecan_tx.c                  txStartDevice                             unbounded:192  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/divecan_tx.c                  txSetpoint                                unbounded:192  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/divecan_tx.c                  txOBOEStat                                unbounded:192  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/divecan_tx.c                  txCalAck                                  unbounded:192  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds_log_download.c        UDS_LogDownload_Handle                    unbounded:192  (__stack_chk_fail ,fcb_getnext)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds_settings.c            UDS_SaveSettingValue                      unbounded:192  (__aeabi_fcmpun ,__aeabi_ul2f ,__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log_reader.c          flash_log_reader_resolve_latest_boot      unbounded:192  (__stack_chk_fail ,z_impl_k_mutex_lock ,z_impl_k_mutex_unlock)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log_reader.c          flash_log_reader_resolve_latest_dive      unbounded:192  (__stack_chk_fail ,z_impl_k_mutex_lock ,z_impl_k_mutex_unlock)
./Firmware/CMakeFiles/app.dir/src/error_histogram.c                     save_work_handler                         unbounded:192  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/isotp_tx_queue.c              send_first_frame                          unbounded:192  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds_log_push_backend.c    upb_process                               unbounded:192  (__stack_chk_fail ,log_msg_get_source_id ,log_output_msg_process ,log_source_id_get)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     writeLogCanVerboseDID                     unbounded:192  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     writeLogVerbosityDID                      unbounded:192  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     writeNvsEraseDID                          unbounded:192  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log_reader.c          flash_log_reader_index_summary            unbounded:184  (__stack_chk_fail ,z_impl_k_mutex_lock ,z_impl_k_mutex_unlock)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     writeLogEraseDID                          unbounded:184  (__stack_chk_fail ,fcb_is_empty)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     writeFactoryFlashEraseDID                 unbounded:184  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     writeFactoryCaptureDID                    unbounded:184  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     writeRestoreFactoryDID                    unbounded:184  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     writeSolenoidOverrideDID.part.0           unbounded:184  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     writeSetpointDID.part.0                   unbounded:184  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log.c                 fl_enqueue                                unbounded:184  (__stack_chk_fail)
